Date,Commodity_Code,Country_Code,Area_Harvested_1000_HA,Beginning_Stocks_1000_MT,Domestic_Consumption_1000_MT,Ending_Stocks_1000_MT,Exports_1000_MT,FSI_Consumption_1000_MT,Feed_Dom_Consumption_1000_MT,Imports_1000_MT,Production_1000_MT,TY_Exports_1000_MT,TY_Imp_from_US_1000_MT,TY_Imports_1000_MT,Total_Distribution_1000_MT,Total_Supply_1000_MT,Yield_MT_per_HA
2000-07-01,0440000,US,29316.0,43628.0,198102.0,48240.0,49313.0,50295.0,147807.0,173.0,251854.0,48329.0,0.0,179.0,295655.0,295655.0,8.591
2001-07-01,0440000,US,27830.0,48240.0,200941.0,40551.0,48383.0,52466.0,148475.0,258.0,241377.0,47271.0,0.0,254.0,289875.0,289875.0,8.6733
2002-07-01,0440000,US,28057.0,40551.0,200748.0,27603.0,40334.0,59910.0,140838.0,367.0,227767.0,40924.0,0.0,374.0,268685.0,268685.0,8.118
2003-07-01,0440000,US,28710.0,27603.0,211595.0,24337.0,48258.0,64836.0,146759.0,358.0,256229.0,48809.0,0.0,356.0,284190.0,284190.0,8.9247
2004-07-01,0440000,US,29798.0,24337.0,224610.0,53697.0,46181.0,68859.0,155751.0,275.0,299876.0,45347.0,0.0,281.0,324488.0,324488.0,10.0636
2005-07-01,0440000,US,30399.0,53697.0,232015.0,49968.0,54201.0,76781.0,155234.0,224.0,282263.0,56084.0,0.0,210.0,336184.0,336184.0,9.2853
2006-07-01,0440000,US,28586.0,49968.0,230674.0,33114.0,53987.0,90070.0,140604.0,304.0,267503.0,54214.0,0.0,319.0,317775.0,317775.0,9.3578
2007-07-01,0440000,US,35014.0,33114.0,261632.0,41255.0,61913.0,112958.0,148674.0,509.0,331177.0,60663.0,0.0,501.0,364800.0,364800.0,9.4584
2008-07-01,0440000,US,31796.0,41255.0,258041.0,42504.0,46965.0,127781.0,130260.0,344.0,305911.0,47758.0,0.0,337.0,347510.0,347510.0,9.6211
2009-07-01,0440000,US,32169.0,42504.0,280987.0,43380.0,50270.0,151553.0,129434.0,212.0,331921.0,49696.0,0.0,237.0,374637.0,374637.0,10.318
2010-07-01,0440000,US,32960.0,43380.0,284549.0,28644.0,46508.0,163382.0,121167.0,703.0,315618.0,45162.0,0.0,684.0,359701.0,359701.0,9.5758
2011-07-01,0440000,US,33945.0,28644.0,277961.0,25122.0,39096.0,163349.0,114612.0,746.0,312789.0,38342.0,0.0,765.0,342179.0,342179.0,9.2146
2012-07-01,0440000,US,35356.0,25122.0,262973.0,20859.0,18545.0,153529.0,109444.0,4063.0,273192.0,18262.0,0.0,4265.0,302377.0,302377.0,7.7269
2013-02-01,0440000,US,35394.0,20859.0,293002.0,31292.0,48790.0,165890.0,127112.0,909.0,351316.0,50691.0,0.0,727.0,373084.0,373084.0,9.9259
2014-02-01,0440000,US,33648.0,31292.0,301837.0,43974.0,47421.0,167530.0,134307.0,804.0,361136.0,46831.0,0.0,809.0,393232.0,393232.0,10.7328
2015-07-01,0440000,US,32680.0,43974.0,298845.0,44123.0,48228.0,168846.0,129999.0,1716.0,345506.0,51056.0,0.0,1782.0,391196.0,391196.0,10.5724
2016-07-01,0440000,US,35106.0,44123.0,313785.0,58253.0,58313.0,174893.0,138892.0,1450.0,384778.0,55618.0,0.0,1451.0,430351.0,430351.0,10.9605
2017-01-01,0440000,US,33481.0,58253.0,313991.0,54367.0,61906.0,179248.0,134743.0,915.0,371096.0,63657.0,0.0,838.0,430264.0,430264.0,11.0838
2018-01-01,0440000,US,32848.0,54367.0,309503.0,56823.0,52538.0,172537.0,136966.0,710.0,363787.0,49297.0,0.0,800.0,418864.0,418864.0,11.0749
2019-01-01,0440000,US,32776.0,56823.0,306450.0,50913.0,45175.0,159672.0,146778.0,1064.0,344651.0,47035.0,0.0,959.0,402538.0,402538.0,10.5153
2020-01-01,0440000,US,33252.0,50913.0,308215.0,31358.0,69775.0,164256.0,143959.0,616.0,357819.0,68293.0,0.0,629.0,409348.0,409348.0,10.7608
2021-01-01,0440000,US,34394.0,31358.0,315665.0,34975.0,62802.0,171627.0,144038.0,615.0,381469.0,62978.0,0.0,607.0,413442.0,413442.0,11.0911
2022-04-01,0440000,US,31851.0,34975.0,305951.0,34551.0,42195.0,166589.0,139362.0,983.0,346739.0,42833.0,0.0,1022.0,382697.0,382697.0,10.8863
2023-04-01,0440000,US,35011.0,34551.0,317642.0,53896.0,53342.0,172855.0,144787.0,635.0,389694.0,54000.0,0.0,600.0,424880.0,424880.0,11.1306
